image_file_path,class_name,polygons
BM276/MV-00004/zedx/20250612/BM276:MV-00004:zedx:20250612-043152/BM276:MV-00004:zedx:20250612-043152_101.jpg,,
BM276/MV-00004/zedx/20250617/BM276:MV-00004:zedx:20250617-221656/BM276:MV-00004:zedx:20250617-221656_83.jpg,,
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-042213/BM302:MV-00003:zedx:20241106-042213_100.jpg,,
BM276/MV-00004/zedx/20250604/BM276:MV-00004:zedx:20250604-235946/BM276:MV-00004:zedx:20250604-235946_2.jpg,,
BM276/MV-00004/zedx/20250618/BM276:MV-00004:zedx:20250618-002859/BM276:MV-00004:zedx:20250618-002859_74.jpg,,
BM276/MV-00004/zedx/20250617/BM276:MV-00004:zedx:20250617-221922/BM276:MV-00004:zedx:20250617-221922_26.jpg,,
BM276/MV-00004/zedx/20250414/BM276:MV-00004:zedx:20250414-220931/BM276:MV-00004:zedx:20250414-220931_19.jpg,,
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-004010/BM302:MV-00003:zedx:20241106-004010_112.jpg,,
BM276/MV-00004/zedx/20250414/BM276:MV-00004:zedx:20250414-223122/BM276:MV-00004:zedx:20250414-223122_43.jpg,,
BM276/MV-00004/zedx/20250415/BM276:MV-00004:zedx:20250415-040350/BM276:MV-00004:zedx:20250415-040350_136.jpg,,
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-004347/BM302:MV-00003:zedx:20241106-004347_52.jpg,,
BM276/MV-00004/zedx/20250131/BM276:MV-00004:zedx:20250131-024950/BM276:MV-00004:zedx:20250131-024950_153.jpg,,
BM276/MV-00004/zedx/20250617/BM276:MV-00004:zedx:20250617-220211/BM276:MV-00004:zedx:20250617-220211_23.jpg,,
BM276/MV-00004/zedx/20250616/BM276:MV-00004:zedx:20250616-051913/BM276:MV-00004:zedx:20250616-051913_52.jpg,,
BM276/MV-00004/zedx/20250612/BM276:MV-00004:zedx:20250612-063750/BM276:MV-00004:zedx:20250612-063750_19.jpg,,
BM276/MV-00004/zedx/20250414/BM276:MV-00004:zedx:20250414-065716/BM276:MV-00004:zedx:20250414-065716_82.jpg,,
BM276/MV-00004/zedx/20250612/BM276:MV-00004:zedx:20250612-070341/BM276:MV-00004:zedx:20250612-070341_0.jpg,,
BM276/MV-00004/zedx/20250518/BM276:MV-00004:zedx:20250518-210010/BM276:MV-00004:zedx:20250518-210010_23.jpg,,
BM276/MV-00004/zedx/20250414/BM276:MV-00004:zedx:20250414-205806/BM276:MV-00004:zedx:20250414-205806_88.jpg,,
BM276/MV-00004/zedx/20250414/BM276:MV-00004:zedx:20250414-223907/BM276:MV-00004:zedx:20250414-223907_107.jpg,,
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-031648/BM302:MV-00003:zedx:20241106-031648_141.jpg,,
BM276/MV-00004/zedx/20250616/BM276:MV-00004:zedx:20250616-072347/BM276:MV-00004:zedx:20250616-072347_125.jpg,,
BM276/MV-00004/zedx/20250131/BM276:MV-00004:zedx:20250131-030646/BM276:MV-00004:zedx:20250131-030646_76.jpg,,
BM276/MV-00004/zedx/20250131/BM276:MV-00004:zedx:20250131-034447/BM276:MV-00004:zedx:20250131-034447_74.jpg,,
BM276/MV-00004/zedx/20250616/BM276:MV-00004:zedx:20250616-061135/BM276:MV-00004:zedx:20250616-061135_60.jpg,,
BM276/MV-00004/zedx/20250616/BM276:MV-00004:zedx:20250616-072140/BM276:MV-00004:zedx:20250616-072140_107.jpg,,
BM276/MV-00004/zedx/20250618/BM276:MV-00004:zedx:20250618-013652/BM276:MV-00004:zedx:20250618-013652_22.jpg,,
BM276/MV-00004/zedx/20250612/BM276:MV-00004:zedx:20250612-043343/BM276:MV-00004:zedx:20250612-043343_13.jpg,,
