image_path,tags
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000007/BM302:MV-00003:zedx:20241106-000007_0.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000007/BM302:MV-00003:zedx:20241106-000007_1.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000007/BM302:MV-00003:zedx:20241106-000007_128.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000007/BM302:MV-00003:zedx:20241106-000007_156.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000007/BM302:MV-00003:zedx:20241106-000007_66.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000007/BM302:MV-00003:zedx:20241106-000007_85.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000025/BM302:MV-00003:zedx:20241106-000025_125.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000025/BM302:MV-00003:zedx:20241106-000025_127.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000025/BM302:MV-00003:zedx:20241106-000025_18.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000025/BM302:MV-00003:zedx:20241106-000025_4.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000025/BM302:MV-00003:zedx:20241106-000025_52.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000025/BM302:MV-00003:zedx:20241106-000025_84.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000059/BM302:MV-00003:zedx:20241106-000059_0.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000059/BM302:MV-00003:zedx:20241106-000059_32.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000059/BM302:MV-00003:zedx:20241106-000059_85.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000116/BM302:MV-00003:zedx:20241106-000116_0.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000116/BM302:MV-00003:zedx:20241106-000116_108.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000116/BM302:MV-00003:zedx:20241106-000116_121.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000116/BM302:MV-00003:zedx:20241106-000116_123.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000116/BM302:MV-00003:zedx:20241106-000116_145.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000116/BM302:MV-00003:zedx:20241106-000116_4.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000133/BM302:MV-00003:zedx:20241106-000133_0.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000133/BM302:MV-00003:zedx:20241106-000133_162.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000133/BM302:MV-00003:zedx:20241106-000133_170.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000150/BM302:MV-00003:zedx:20241106-000150_0.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000150/BM302:MV-00003:zedx:20241106-000150_163.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000223/BM302:MV-00003:zedx:20241106-000223_147.jpg,"hose-boom, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000223/BM302:MV-00003:zedx:20241106-000223_156.jpg,"hose-boom, people, bench"
BM302/MV-00003/zedx/20241106/BM302:MV-00003:zedx:20241106-000223/BM302:MV-00003:zedx:20241106-000223_18.jpg,"hose-boom, people, bench"
